"","y.first","z.first","pts","days","psi","p","phi","g","yrs","nsim","NA"
"1",0,1,"input values 10"," 15"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 10, 15, 0.5, 0.08, 0.85, 0, 15, 500"
"2",0,1,"input values 10"," 15"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 10, 15, 0.5, 0.08, 0.9, 0, 15, 500"
"3",0,1,"input values 10"," 15"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 10, 15, 0.5, 0.08, 0.95, 0, 15, 500"
"4",0,1,"input values 10"," 15"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 10, 15, 0.5, 0.08, 0.99, 0, 15, 500"
"5",0,4,"input values 10"," 15"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 10, 15, 0.5, 0.2, 0.9, 0, 15, 500"
"6",0,7,"input values 10"," 15"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 10, 15, 0.5, 0.2, 0.95, 0, 15, 500"
"7",0,0,"input values 10"," 15"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 10, 15, 0.5, 0.2, 0.99, 0, 15, 500"
"8",0,5,"input values 10"," 15"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 10, 15, 0.5, 0.5, 0.9, 0, 15, 500"
"9",0,10,"input values 10"," 15"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 10, 15, 0.5, 0.5, 0.95, 0, 15, 500"
"10",0,0,"input values 10"," 15"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 10, 15, 0.5, 0.5, 0.99, 0, 15, 500"
"11",0,2,"input values 10"," 30"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 10, 30, 0.5, 0.08, 0.85, 0, 15, 500"
"12",0,4,"input values 10"," 30"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 10, 30, 0.5, 0.08, 0.9, 0, 15, 500"
"13",0,8,"input values 10"," 30"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 10, 30, 0.5, 0.08, 0.95, 0, 15, 500"
"14",0,0,"input values 10"," 30"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 10, 30, 0.5, 0.08, 0.99, 0, 15, 500"
"15",0,5,"input values 10"," 30"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 10, 30, 0.5, 0.2, 0.9, 0, 15, 500"
"16",0,10,"input values 10"," 30"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 10, 30, 0.5, 0.2, 0.95, 0, 15, 500"
"17",0,0,"input values 10"," 30"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 10, 30, 0.5, 0.2, 0.99, 0, 15, 500"
"18",0,5,"input values 10"," 30"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 10, 30, 0.5, 0.5, 0.9, 0, 15, 500"
"19",0,10,"input values 10"," 30"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 10, 30, 0.5, 0.5, 0.95, 0, 15, 500"
"20",0,0,"input values 10"," 30"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 10, 30, 0.5, 0.5, 0.99, 0, 15, 500"
"21",0,4,"input values 10"," 45"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 10, 45, 0.5, 0.08, 0.85, 0, 15, 500"
"22",0,5,"input values 10"," 45"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 10, 45, 0.5, 0.08, 0.9, 0, 15, 500"
"23",0,0,"input values 10"," 45"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 10, 45, 0.5, 0.08, 0.95, 0, 15, 500"
"24",0,0,"input values 10"," 45"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 10, 45, 0.5, 0.08, 0.99, 0, 15, 500"
"25",0,5,"input values 10"," 45"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 10, 45, 0.5, 0.2, 0.9, 0, 15, 500"
"26",0,11,"input values 10"," 45"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 10, 45, 0.5, 0.2, 0.95, 0, 15, 500"
"27",0,0,"input values 10"," 45"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 10, 45, 0.5, 0.2, 0.99, 0, 15, 500"
"28",0,5,"input values 10"," 45"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 10, 45, 0.5, 0.5, 0.9, 0, 15, 500"
"29",0,11,"input values 10"," 45"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 10, 45, 0.5, 0.5, 0.95, 0, 15, 500"
"30",0,0,"input values 10"," 45"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 10, 45, 0.5, 0.5, 0.99, 0, 15, 500"
"31",0,4,"input values 10"," 60"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 10, 60, 0.5, 0.08, 0.85, 0, 15, 500"
"32",0,5,"input values 10"," 60"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 10, 60, 0.5, 0.08, 0.9, 0, 15, 500"
"33",0,0,"input values 10"," 60"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 10, 60, 0.5, 0.08, 0.95, 0, 15, 500"
"34",0,0,"input values 10"," 60"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 10, 60, 0.5, 0.08, 0.99, 0, 15, 500"
"35",0,6,"input values 10"," 60"," 0.5"," 0.2"," 0.9"," 0"," 15"," 500","input values 10, 60, 0.5, 0.2, 0.9, 0, 15, 500"
"36",0,11,"input values 10"," 60"," 0.5"," 0.2"," 0.95"," 0"," 15"," 500","input values 10, 60, 0.5, 0.2, 0.95, 0, 15, 500"
"37",0,0,"input values 10"," 60"," 0.5"," 0.2"," 0.99"," 0"," 15"," 500","input values 10, 60, 0.5, 0.2, 0.99, 0, 15, 500"
"38",0,6,"input values 10"," 60"," 0.5"," 0.5"," 0.9"," 0"," 15"," 500","input values 10, 60, 0.5, 0.5, 0.9, 0, 15, 500"
"39",0,11,"input values 10"," 60"," 0.5"," 0.5"," 0.95"," 0"," 15"," 500","input values 10, 60, 0.5, 0.5, 0.95, 0, 15, 500"
"40",0,0,"input values 10"," 60"," 0.5"," 0.5"," 0.99"," 0"," 15"," 500","input values 10, 60, 0.5, 0.5, 0.99, 0, 15, 500"
"41",0,1,"input values 120"," 15"," 0.5"," 0.08"," 0.85"," 0"," 15"," 500","input values 120, 15, 0.5, 0.08, 0.85, 0, 15, 500"
"42",0,1,"input values 120"," 15"," 0.5"," 0.08"," 0.9"," 0"," 15"," 500","input values 120, 15, 0.5, 0.08, 0.9, 0, 15, 500"
"43",0,1,"input values 120"," 15"," 0.5"," 0.08"," 0.95"," 0"," 15"," 500","input values 120, 15, 0.5, 0.08, 0.95, 0, 15, 500"
"44",0,1,"input values 120"," 15"," 0.5"," 0.08"," 0.99"," 0"," 15"," 500","input values 120, 15, 0.5, 0.08, 0.99, 0, 15, 500"
