"","y.first","z.first","pts","days","psi","p","phi","g","yrs","nsim"
"1",0,6,10,15,0.3,0.08,0.99,0,12,500
"2",0,3,20,15,0.3,0.08,0.99,0,12,500
"3",0,2,30,15,0.3,0.08,0.99,0,12,500
"4",0,1,60,15,0.3,0.08,0.99,0,12,500
"5",0,1,90,15,0.3,0.08,0.99,0,12,500
"6",0,1,120,15,0.3,0.08,0.99,0,12,500
"7",0,0,10,30,0.3,0.08,0.99,0,12,500
"8",0,5,20,30,0.3,0.08,0.99,0,12,500
"9",0,4,30,30,0.3,0.08,0.99,0,12,500
"10",0,2,60,30,0.3,0.08,0.99,0,12,500
"11",0,2,90,30,0.3,0.08,0.99,0,12,500
"12",0,1,120,30,0.3,0.08,0.99,0,12,500
"13",0,0,10,45,0.3,0.08,0.99,0,12,500
"14",0,0,20,45,0.3,0.08,0.99,0,12,500
"15",0,8,30,45,0.3,0.08,0.99,0,12,500
"16",0,5,60,45,0.3,0.08,0.99,0,12,500
"17",0,3,90,45,0.3,0.08,0.99,0,12,500
"18",0,2,120,45,0.3,0.08,0.99,0,12,500
"19",0,0,10,60,0.3,0.08,0.99,0,12,500
"20",0,0,20,60,0.3,0.08,0.99,0,12,500
"21",0,0,30,60,0.3,0.08,0.99,0,12,500
"22",0,9,60,60,0.3,0.08,0.99,0,12,500
"23",0,6,90,60,0.3,0.08,0.99,0,12,500
"24",0,5,120,60,0.3,0.08,0.99,0,12,500
"25",0,0,10,15,0.3,0.2,0.99,0,12,500
"26",0,11,20,15,0.3,0.2,0.99,0,12,500
"27",0,8,30,15,0.3,0.2,0.99,0,12,500
"28",0,3,60,15,0.3,0.2,0.99,0,12,500
"29",0,3,90,15,0.3,0.2,0.99,0,12,500
"30",0,2,120,15,0.3,0.2,0.99,0,12,500
"31",0,0,10,30,0.3,0.2,0.99,0,12,500
"32",0,0,20,30,0.3,0.2,0.99,0,12,500
"33",0,0,30,30,0.3,0.2,0.99,0,12,500
"34",0,0,60,30,0.3,0.2,0.99,0,12,500
"35",0,9,90,30,0.3,0.2,0.99,0,12,500
"36",0,6,120,30,0.3,0.2,0.99,0,12,500
"37",0,0,10,45,0.3,0.2,0.99,0,12,500
"38",0,0,20,45,0.3,0.2,0.99,0,12,500
"39",0,0,30,45,0.3,0.2,0.99,0,12,500
"40",0,0,60,45,0.3,0.2,0.99,0,12,500
"41",0,9,90,45,0.3,0.2,0.99,0,12,500
"42",0,6,120,45,0.3,0.2,0.99,0,12,500
"43",0,0,10,60,0.3,0.2,0.99,0,12,500
"44",0,0,20,60,0.3,0.2,0.99,0,12,500
"45",0,0,30,60,0.3,0.2,0.99,0,12,500
"46",0,0,60,60,0.3,0.2,0.99,0,12,500
"47",0,9,90,60,0.3,0.2,0.99,0,12,500
"48",0,7,120,60,0.3,0.2,0.99,0,12,500
"49",0,0,10,15,0.3,0.5,0.99,0,12,500
"50",0,0,20,15,0.3,0.5,0.99,0,12,500
"51",0,0,30,15,0.3,0.5,0.99,0,12,500
"52",0,0,60,15,0.3,0.5,0.99,0,12,500
"53",0,9,90,15,0.3,0.5,0.99,0,12,500
"54",0,7,120,15,0.3,0.5,0.99,0,12,500
"55",0,0,10,30,0.3,0.5,0.99,0,12,500
"56",0,0,20,30,0.3,0.5,0.99,0,12,500
"57",0,0,30,30,0.3,0.5,0.99,0,12,500
"58",0,0,60,30,0.3,0.5,0.99,0,12,500
"59",0,10,90,30,0.3,0.5,0.99,0,12,500
"60",0,6,120,30,0.3,0.5,0.99,0,12,500
"61",0,0,10,45,0.3,0.5,0.99,0,12,500
"62",0,0,20,45,0.3,0.5,0.99,0,12,500
"63",0,0,30,45,0.3,0.5,0.99,0,12,500
"64",0,0,60,45,0.3,0.5,0.99,0,12,500
"65",0,9,90,45,0.3,0.5,0.99,0,12,500
"66",0,6,120,45,0.3,0.5,0.99,0,12,500
"67",0,0,10,60,0.3,0.5,0.99,0,12,500
"68",0,0,20,60,0.3,0.5,0.99,0,12,500
"69",0,0,30,60,0.3,0.5,0.99,0,12,500
"70",0,0,60,60,0.3,0.5,0.99,0,12,500
"71",0,9,90,60,0.3,0.5,0.99,0,12,500
"72",0,7,120,60,0.3,0.5,0.99,0,12,500
"73",0,6,10,15,0.3,0.08,0.95,0,12,500
"74",0,2,20,15,0.3,0.08,0.95,0,12,500
"75",0,2,30,15,0.3,0.08,0.95,0,12,500
"76",0,1,60,15,0.3,0.08,0.95,0,12,500
"77",0,1,90,15,0.3,0.08,0.95,0,12,500
"78",0,1,120,15,0.3,0.08,0.95,0,12,500
"79",0,9,10,30,0.3,0.08,0.95,0,12,500
"80",0,4,20,30,0.3,0.08,0.95,0,12,500
"81",0,3,30,30,0.3,0.08,0.95,0,12,500
"82",0,2,60,30,0.3,0.08,0.95,0,12,500
"83",0,1,90,30,0.3,0.08,0.95,0,12,500
"84",0,1,120,30,0.3,0.08,0.95,0,12,500
"85",0,0,10,45,0.3,0.08,0.95,0,12,500
"86",0,6,20,45,0.3,0.08,0.95,0,12,500
"87",0,4,30,45,0.3,0.08,0.95,0,12,500
"88",0,2,60,45,0.3,0.08,0.95,0,12,500
"89",0,2,90,45,0.3,0.08,0.95,0,12,500
"90",0,1,120,45,0.3,0.08,0.95,0,12,500
"91",0,0,10,60,0.3,0.08,0.95,0,12,500
"92",0,9,20,60,0.3,0.08,0.95,0,12,500
"93",0,6,30,60,0.3,0.08,0.95,0,12,500
"94",0,3,60,60,0.3,0.08,0.95,0,12,500
"95",0,2,90,60,0.3,0.08,0.95,0,12,500
"96",0,2,120,60,0.3,0.08,0.95,0,12,500
"97",0,0,10,15,0.3,0.2,0.95,0,12,500
"98",0,5,20,15,0.3,0.2,0.95,0,12,500
"99",0,4,30,15,0.3,0.2,0.95,0,12,500
"100",0,2,60,15,0.3,0.2,0.95,0,12,500
"101",0,2,90,15,0.3,0.2,0.95,0,12,500
"102",0,1,120,15,0.3,0.2,0.95,0,12,500
"103",0,0,10,30,0.3,0.2,0.95,0,12,500
"104",0,10,20,30,0.3,0.2,0.95,0,12,500
"105",0,6,30,30,0.3,0.2,0.95,0,12,500
"106",0,3,60,30,0.3,0.2,0.95,0,12,500
"107",0,2,90,30,0.3,0.2,0.95,0,12,500
"108",0,2,120,30,0.3,0.2,0.95,0,12,500
"109",0,0,10,45,0.3,0.2,0.95,0,12,500
"110",0,9,20,45,0.3,0.2,0.95,0,12,500
"111",0,6,30,45,0.3,0.2,0.95,0,12,500
"112",0,3,60,45,0.3,0.2,0.95,0,12,500
"113",0,2,90,45,0.3,0.2,0.95,0,12,500
"114",0,2,120,45,0.3,0.2,0.95,0,12,500
"115",0,0,10,60,0.3,0.2,0.95,0,12,500
"116",0,10,20,60,0.3,0.2,0.95,0,12,500
"117",0,6,30,60,0.3,0.2,0.95,0,12,500
"118",0,3,60,60,0.3,0.2,0.95,0,12,500
"119",0,2,90,60,0.3,0.2,0.95,0,12,500
"120",0,2,120,60,0.3,0.2,0.95,0,12,500
"121",0,0,10,15,0.3,0.5,0.95,0,12,500
"122",0,9,20,15,0.3,0.5,0.95,0,12,500
"123",0,6,30,15,0.3,0.5,0.95,0,12,500
"124",0,3,60,15,0.3,0.5,0.95,0,12,500
"125",0,2,90,15,0.3,0.5,0.95,0,12,500
"126",0,2,120,15,0.3,0.5,0.95,0,12,500
"127",0,0,10,30,0.3,0.5,0.95,0,12,500
"128",0,10,20,30,0.3,0.5,0.95,0,12,500
"129",0,7,30,30,0.3,0.5,0.95,0,12,500
"130",0,3,60,30,0.3,0.5,0.95,0,12,500
"131",0,2,90,30,0.3,0.5,0.95,0,12,500
"132",0,2,120,30,0.3,0.5,0.95,0,12,500
"133",0,0,10,45,0.3,0.5,0.95,0,12,500
"134",0,9,20,45,0.3,0.5,0.95,0,12,500
"135",0,6,30,45,0.3,0.5,0.95,0,12,500
"136",0,3,60,45,0.3,0.5,0.95,0,12,500
"137",0,2,90,45,0.3,0.5,0.95,0,12,500
"138",0,2,120,45,0.3,0.5,0.95,0,12,500
"139",0,0,10,60,0.3,0.5,0.95,0,12,500
"140",0,10,20,60,0.3,0.5,0.95,0,12,500
"141",0,6,30,60,0.3,0.5,0.95,0,12,500
"142",0,3,60,60,0.3,0.5,0.95,0,12,500
"143",0,2,90,60,0.3,0.5,0.95,0,12,500
"144",0,2,120,60,0.3,0.5,0.95,0,12,500
"145",9,6,10,15,0.3,0.08,0.9,0,12,500
"146",10,2,20,15,0.3,0.08,0.9,0,12,500
"147",14,1,30,15,0.3,0.08,0.9,0,12,500
"148",0,1,60,15,0.3,0.08,0.9,0,12,500
"149",0,1,90,15,0.3,0.08,0.9,0,12,500
"150",0,1,120,15,0.3,0.08,0.9,0,12,500
"151",9,7,10,30,0.3,0.08,0.9,0,12,500
"152",10,3,20,30,0.3,0.08,0.9,0,12,500
"153",11,2,30,30,0.3,0.08,0.9,0,12,500
"154",0,1,60,30,0.3,0.08,0.9,0,12,500
"155",0,1,90,30,0.3,0.08,0.9,0,12,500
"156",0,1,120,30,0.3,0.08,0.9,0,12,500
"157",9,8,10,45,0.3,0.08,0.9,0,12,500
"158",10,4,20,45,0.3,0.08,0.9,0,12,500
"159",11,3,30,45,0.3,0.08,0.9,0,12,500
"160",0,2,60,45,0.3,0.08,0.9,0,12,500
"161",0,1,90,45,0.3,0.08,0.9,0,12,500
"162",0,1,120,45,0.3,0.08,0.9,0,12,500
"163",9,10,10,60,0.3,0.08,0.9,0,12,500
"164",11,4,20,60,0.3,0.08,0.9,0,12,500
"165",0,3,30,60,0.3,0.08,0.9,0,12,500
"166",0,2,60,60,0.3,0.08,0.9,0,12,500
"167",0,1,90,60,0.3,0.08,0.9,0,12,500
"168",0,1,120,60,0.3,0.08,0.9,0,12,500
"169",9,9,10,15,0.3,0.2,0.9,0,12,500
"170",10,4,20,15,0.3,0.2,0.9,0,12,500
"171",11,2,30,15,0.3,0.2,0.9,0,12,500
"172",0,1,60,15,0.3,0.2,0.9,0,12,500
"173",0,1,90,15,0.3,0.2,0.9,0,12,500
"174",0,1,120,15,0.3,0.2,0.9,0,12,500
"175",9,0,10,30,0.3,0.2,0.9,0,12,500
"176",11,5,20,30,0.3,0.2,0.9,0,12,500
"177",11,3,30,30,0.3,0.2,0.9,0,12,500
"178",0,2,60,30,0.3,0.2,0.9,0,12,500
"179",0,1,90,30,0.3,0.2,0.9,0,12,500
"180",0,1,120,30,0.3,0.2,0.9,0,12,500
"181",10,10,10,45,0.3,0.2,0.9,0,12,500
"182",0,5,20,45,0.3,0.2,0.9,0,12,500
"183",0,3,30,45,0.3,0.2,0.9,0,12,500
"184",0,2,60,45,0.3,0.2,0.9,0,12,500
"185",0,1,90,45,0.3,0.2,0.9,0,12,500
"186",0,1,120,45,0.3,0.2,0.9,0,12,500
"187",10,11,10,60,0.3,0.2,0.9,0,12,500
"188",11,5,20,60,0.3,0.2,0.9,0,12,500
"189",0,3,30,60,0.3,0.2,0.9,0,12,500
"190",0,2,60,60,0.3,0.2,0.9,0,12,500
"191",0,1,90,60,0.3,0.2,0.9,0,12,500
"192",0,1,120,60,0.3,0.2,0.9,0,12,500
"193",10,11,10,15,0.3,0.5,0.9,0,12,500
"194",11,4,20,15,0.3,0.5,0.9,0,12,500
"195",11,3,30,15,0.3,0.5,0.9,0,12,500
"196",0,2,60,15,0.3,0.5,0.9,0,12,500
"197",0,1,90,15,0.3,0.5,0.9,0,12,500
"198",0,1,120,15,0.3,0.5,0.9,0,12,500
"199",9,11,10,30,0.3,0.5,0.9,0,12,500
"200",11,5,20,30,0.3,0.5,0.9,0,12,500
"201",0,3,30,30,0.3,0.5,0.9,0,12,500
"202",0,2,60,30,0.3,0.5,0.9,0,12,500
"203",0,1,90,30,0.3,0.5,0.9,0,12,500
"204",0,1,120,30,0.3,0.5,0.9,0,12,500
"205",10,10,10,45,0.3,0.5,0.9,0,12,500
"206",0,5,20,45,0.3,0.5,0.9,0,12,500
"207",0,3,30,45,0.3,0.5,0.9,0,12,500
"208",0,2,60,45,0.3,0.5,0.9,0,12,500
"209",0,1,90,45,0.3,0.5,0.9,0,12,500
"210",0,1,120,45,0.3,0.5,0.9,0,12,500
"211",10,11,10,60,0.3,0.5,0.9,0,12,500
"212",11,5,20,60,0.3,0.5,0.9,0,12,500
"213",0,3,30,60,0.3,0.5,0.9,0,12,500
"214",0,2,60,60,0.3,0.5,0.9,0,12,500
"215",0,1,90,60,0.3,0.5,0.9,0,12,500
"216",0,1,120,60,0.3,0.5,0.9,0,12,500
"217",6,5,10,15,0.3,0.08,0.85,0,12,500
"218",7,2,20,15,0.3,0.08,0.85,0,12,500
"219",8,1,30,15,0.3,0.08,0.85,0,12,500
"220",8,1,60,15,0.3,0.08,0.85,0,12,500
"221",8,1,90,15,0.3,0.08,0.85,0,12,500
"222",9,1,120,15,0.3,0.08,0.85,0,12,500
"223",6,5,10,30,0.3,0.08,0.85,0,12,500
"224",7,2,20,30,0.3,0.08,0.85,0,12,500
"225",7,2,30,30,0.3,0.08,0.85,0,12,500
"226",8,1,60,30,0.3,0.08,0.85,0,12,500
"227",8,1,90,30,0.3,0.08,0.85,0,12,500
"228",8,1,120,30,0.3,0.08,0.85,0,12,500
"229",6,6,10,45,0.3,0.08,0.85,0,12,500
"230",7,3,20,45,0.3,0.08,0.85,0,12,500
"231",8,2,30,45,0.3,0.08,0.85,0,12,500
"232",8,1,60,45,0.3,0.08,0.85,0,12,500
"233",8,1,90,45,0.3,0.08,0.85,0,12,500
"234",8,1,120,45,0.3,0.08,0.85,0,12,500
"235",7,7,10,60,0.3,0.08,0.85,0,12,500
"236",7,3,20,60,0.3,0.08,0.85,0,12,500
"237",8,2,30,60,0.3,0.08,0.85,0,12,500
