"","y.first","z.first","pts","days","psi","p","phi","g","yrs","nsim"
"1",0,1,75,15,0.3,0.08,0.99,0,12,500
"2",0,2,75,30,0.3,0.08,0.99,0,12,500
"3",0,4,75,45,0.3,0.08,0.99,0,12,500
"4",0,7,75,60,0.3,0.08,0.99,0,12,500
"5",0,1,75,15,0.5,0.08,0.99,0,12,500
"6",0,1,75,30,0.5,0.08,0.99,0,12,500
"7",0,2,75,45,0.5,0.08,0.99,0,12,500
"8",0,4,75,60,0.5,0.08,0.99,0,12,500
"9",0,1,75,15,0.7,0.08,0.99,0,12,500
"10",0,1,75,30,0.7,0.08,0.99,0,12,500
"11",0,2,75,45,0.7,0.08,0.99,0,12,500
"12",0,3,75,60,0.7,0.08,0.99,0,12,500
"13",0,3,75,15,0.3,0.2,0.99,0,12,500
"14",0,10,75,30,0.3,0.2,0.99,0,12,500
"15",0,11,75,45,0.3,0.2,0.99,0,12,500
"16",0,11,75,60,0.3,0.2,0.99,0,12,500
"17",0,2,75,15,0.5,0.2,0.99,0,12,500
"18",0,6,75,30,0.5,0.2,0.99,0,12,500
"19",0,7,75,45,0.5,0.2,0.99,0,12,500
"20",0,6,75,60,0.5,0.2,0.99,0,12,500
"21",0,2,75,15,0.7,0.2,0.99,0,12,500
"22",0,4,75,30,0.7,0.2,0.99,0,12,500
"23",0,5,75,45,0.7,0.2,0.99,0,12,500
"24",0,5,75,60,0.7,0.2,0.99,0,12,500
"25",0,10,75,15,0.3,0.5,0.99,0,12,500
"26",0,0,75,30,0.3,0.5,0.99,0,12,500
"27",0,11,75,45,0.3,0.5,0.99,0,12,500
"28",0,11,75,60,0.3,0.5,0.99,0,12,500
"29",0,6,75,15,0.5,0.5,0.99,0,12,500
"30",0,7,75,30,0.5,0.5,0.99,0,12,500
"31",0,7,75,45,0.5,0.5,0.99,0,12,500
"32",0,6,75,60,0.5,0.5,0.99,0,12,500
"33",0,5,75,15,0.7,0.5,0.99,0,12,500
"34",0,5,75,30,0.7,0.5,0.99,0,12,500
"35",0,5,75,45,0.7,0.5,0.99,0,12,500
"36",0,5,75,60,0.7,0.5,0.99,0,12,500
"37",0,1,75,15,0.3,0.08,0.95,0,12,500
"38",0,1,75,30,0.3,0.08,0.95,0,12,500
"39",0,2,75,45,0.3,0.08,0.95,0,12,500
"40",0,2,75,60,0.3,0.08,0.95,0,12,500
"41",0,1,75,15,0.5,0.08,0.95,0,12,500
"42",0,1,75,30,0.5,0.08,0.95,0,12,500
"43",0,1,75,45,0.5,0.08,0.95,0,12,500
"44",0,2,75,60,0.5,0.08,0.95,0,12,500
"45",0,1,75,15,0.7,0.08,0.95,0,12,500
"46",11,1,75,30,0.7,0.08,0.95,0,12,500
