"","value","L1"
"1",0,"y.first"
"2",0,"y.first"
"3",0,"y.first"
"4",0,"y.first"
"5",0,"y.first"
"6",0,"y.first"
"7",0,"y.first"
"8",0,"y.first"
"9",0,"y.first"
"10",0,"y.first"
"11",0,"y.first"
"12",0,"y.first"
"13",0,"y.first"
"14",0,"y.first"
"15",0,"y.first"
"16",0,"y.first"
"17",0,"y.first"
"18",0,"y.first"
"19",0,"y.first"
"20",0,"y.first"
"21",0,"y.first"
"22",0,"y.first"
"23",0,"y.first"
"24",0,"y.first"
"25",0,"y.first"
"26",0,"y.first"
"27",0,"y.first"
"28",0,"y.first"
"29",0,"y.first"
"30",0,"y.first"
"31",0,"y.first"
"32",0,"y.first"
"33",0,"y.first"
"34",0,"y.first"
"35",0,"y.first"
"36",0,"y.first"
"37",0,"y.first"
"38",0,"y.first"
"39",0,"y.first"
"40",0,"y.first"
"41",0,"y.first"
"42",0,"y.first"
"43",0,"y.first"
"44",0,"y.first"
"45",0,"y.first"
"46",0,"y.first"
"47",0,"y.first"
"48",0,"y.first"
"49",0,"y.first"
"50",0,"y.first"
"51",0,"y.first"
"52",0,"y.first"
"53",0,"y.first"
"54",0,"y.first"
"55",0,"y.first"
"56",0,"y.first"
"57",0,"y.first"
"58",0,"y.first"
"59",0,"y.first"
"60",0,"y.first"
"61",0,"y.first"
"62",0,"y.first"
"63",0,"y.first"
"64",0,"y.first"
"65",0,"y.first"
"66",0,"y.first"
"67",0,"y.first"
"68",0,"y.first"
"69",0,"y.first"
"70",0,"y.first"
"71",0,"y.first"
"72",0,"y.first"
"73",0,"y.first"
"74",0,"y.first"
"75",0,"y.first"
"76",0,"y.first"
"77",0,"y.first"
"78",0,"y.first"
"79",0,"y.first"
"80",0,"y.first"
"81",0,"y.first"
"82",0,"y.first"
"83",0,"y.first"
"84",0,"y.first"
"85",0,"y.first"
"86",0,"y.first"
"87",0,"y.first"
"88",0,"y.first"
"89",0,"y.first"
"90",0,"y.first"
"91",0,"y.first"
"92",0,"y.first"
"93",0,"y.first"
"94",0,"y.first"
"95",0,"y.first"
"96",0,"y.first"
"97",0,"y.first"
"98",0,"y.first"
"99",0,"y.first"
"100",0,"y.first"
"101",0,"y.first"
"102",0,"y.first"
"103",0,"y.first"
"104",0,"y.first"
"105",0,"y.first"
"106",0,"y.first"
"107",0,"y.first"
"108",0,"y.first"
"109",0,"y.first"
"110",0,"y.first"
"111",0,"y.first"
"112",0,"y.first"
"113",0,"y.first"
"114",0,"y.first"
"115",0,"y.first"
"116",0,"y.first"
"117",0,"y.first"
"118",0,"y.first"
"119",0,"y.first"
"120",0,"y.first"
"121",0,"y.first"
"122",0,"y.first"
"123",0,"y.first"
"124",0,"y.first"
"125",0,"y.first"
"126",0,"y.first"
"127",0,"y.first"
"128",0,"y.first"
"129",0,"y.first"
"130",0,"y.first"
"131",0,"y.first"
"132",0,"y.first"
"133",0,"y.first"
"134",0,"y.first"
"135",0,"y.first"
"136",0,"y.first"
"137",0,"y.first"
"138",0,"y.first"
"139",0,"y.first"
"140",0,"y.first"
"141",0,"y.first"
"142",0,"y.first"
"143",0,"y.first"
"144",0,"y.first"
"145",0,"y.first"
"146",0,"y.first"
"147",0,"y.first"
"148",0,"y.first"
"149",0,"y.first"
"150",0,"y.first"
"151",0,"y.first"
"152",0,"y.first"
"153",0,"y.first"
"154",0,"y.first"
"155",0,"y.first"
"156",0,"y.first"
"157",0,"y.first"
"158",0,"y.first"
"159",0,"y.first"
"160",0,"y.first"
"161",0,"y.first"
"162",0,"y.first"
"163",0,"y.first"
"164",0,"y.first"
"165",0,"y.first"
"166",0,"y.first"
"167",0,"y.first"
"168",0,"y.first"
"169",0,"y.first"
"170",0,"y.first"
"171",0,"y.first"
"172",0,"y.first"
"173",0,"y.first"
"174",0,"y.first"
"175",0,"y.first"
"176",0,"y.first"
"177",0,"y.first"
"178",0,"y.first"
"179",0,"y.first"
"180",0,"y.first"
"181",0,"y.first"
"182",0,"y.first"
"183",0,"y.first"
"184",0,"y.first"
"185",0,"y.first"
"186",0,"y.first"
"187",0,"y.first"
"188",0,"y.first"
"189",0,"y.first"
"190",0,"y.first"
"191",0,"y.first"
"192",0,"y.first"
"193",0,"y.first"
"194",0,"y.first"
"195",0,"y.first"
"196",0,"y.first"
"197",0,"y.first"
"198",0,"y.first"
"199",0,"y.first"
"200",0,"y.first"
"201",0,"y.first"
"202",0,"y.first"
"203",0,"y.first"
"204",0,"y.first"
"205",0,"y.first"
"206",0,"y.first"
"207",0,"y.first"
"208",0,"y.first"
"209",0,"y.first"
"210",0,"y.first"
"211",0,"y.first"
"212",0,"y.first"
"213",0,"y.first"
"214",0,"y.first"
"215",0,"y.first"
"216",0,"y.first"
"217",0,"y.first"
"218",0,"y.first"
"219",0,"y.first"
"220",0,"y.first"
"221",0,"y.first"
"222",0,"y.first"
"223",0,"y.first"
"224",0,"y.first"
"225",0,"y.first"
"226",0,"y.first"
"227",0,"y.first"
