"","y.first","z.first","pts","days","psi","p","phi","g","yrs","nsim"
"1",0,2,40,15,0.3,0.08,0.99,0,12,500
"2",0,1,50,15,0.3,0.08,0.99,0,12,500
"3",0,1,70,15,0.3,0.08,0.99,0,12,500
"4",0,1,80,15,0.3,0.08,0.99,0,12,500
"5",0,3,40,30,0.3,0.08,0.99,0,12,500
"6",0,2,50,30,0.3,0.08,0.99,0,12,500
"7",0,2,70,30,0.3,0.08,0.99,0,12,500
"8",0,2,80,30,0.3,0.08,0.99,0,12,500
"9",0,6,40,45,0.3,0.08,0.99,0,12,500
"10",0,6,50,45,0.3,0.08,0.99,0,12,500
"11",0,4,70,45,0.3,0.08,0.99,0,12,500
"12",0,4,80,45,0.3,0.08,0.99,0,12,500
"13",0,0,40,60,0.3,0.08,0.99,0,12,500
"14",0,10,50,60,0.3,0.08,0.99,0,12,500
"15",0,8,70,60,0.3,0.08,0.99,0,12,500
"16",0,7,80,60,0.3,0.08,0.99,0,12,500
"17",0,1,40,15,0.5,0.08,0.99,0,12,500
"18",0,1,50,15,0.5,0.08,0.99,0,12,500
"19",0,1,70,15,0.5,0.08,0.99,0,12,500
"20",0,1,80,15,0.5,0.08,0.99,0,12,500
"21",0,2,40,30,0.5,0.08,0.99,0,12,500
"22",0,2,50,30,0.5,0.08,0.99,0,12,500
"23",0,1,70,30,0.5,0.08,0.99,0,12,500
"24",0,1,80,30,0.5,0.08,0.99,0,12,500
"25",0,4,40,45,0.5,0.08,0.99,0,12,500
"26",0,3,50,45,0.5,0.08,0.99,0,12,500
"27",0,2,70,45,0.5,0.08,0.99,0,12,500
"28",0,2,80,45,0.5,0.08,0.99,0,12,500
"29",0,8,40,60,0.5,0.08,0.99,0,12,500
"30",0,6,50,60,0.5,0.08,0.99,0,12,500
"31",0,5,70,60,0.5,0.08,0.99,0,12,500
"32",0,4,80,60,0.5,0.08,0.99,0,12,500
"33",0,1,40,15,0.7,0.08,0.99,0,12,500
"34",0,1,50,15,0.7,0.08,0.99,0,12,500
"35",0,1,70,15,0.7,0.08,0.99,0,12,500
"36",0,1,80,15,0.7,0.08,0.99,0,12,500
"37",0,1,40,30,0.7,0.08,0.99,0,12,500
"38",0,1,50,30,0.7,0.08,0.99,0,12,500
"39",0,1,70,30,0.7,0.08,0.99,0,12,500
"40",0,1,80,30,0.7,0.08,0.99,0,12,500
"41",0,3,40,45,0.7,0.08,0.99,0,12,500
"42",0,2,50,45,0.7,0.08,0.99,0,12,500
"43",0,2,70,45,0.7,0.08,0.99,0,12,500
"44",0,2,80,45,0.7,0.08,0.99,0,12,500
"45",0,6,40,60,0.7,0.08,0.99,0,12,500
"46",0,4,50,60,0.7,0.08,0.99,0,12,500
"47",0,4,70,60,0.7,0.08,0.99,0,12,500
"48",0,3,80,60,0.7,0.08,0.99,0,12,500
"49",0,5,40,15,0.3,0.2,0.99,0,12,500
"50",0,4,50,15,0.3,0.2,0.99,0,12,500
"51",0,3,70,15,0.3,0.2,0.99,0,12,500
"52",0,3,80,15,0.3,0.2,0.99,0,12,500
"53",0,0,40,30,0.3,0.2,0.99,0,12,500
"54",0,0,50,30,0.3,0.2,0.99,0,12,500
"55",0,11,70,30,0.3,0.2,0.99,0,12,500
"56",0,9,80,30,0.3,0.2,0.99,0,12,500
"57",0,0,40,45,0.3,0.2,0.99,0,12,500
"58",0,0,50,45,0.3,0.2,0.99,0,12,500
"59",0,0,70,45,0.3,0.2,0.99,0,12,500
"60",0,10,80,45,0.3,0.2,0.99,0,12,500
"61",0,0,40,60,0.3,0.2,0.99,0,12,500
"62",0,0,50,60,0.3,0.2,0.99,0,12,500
"63",0,0,70,60,0.3,0.2,0.99,0,12,500
"64",0,0,80,60,0.3,0.2,0.99,0,12,500
"65",0,3,40,15,0.5,0.2,0.99,0,12,500
"66",0,3,50,15,0.5,0.2,0.99,0,12,500
"67",0,2,70,15,0.5,0.2,0.99,0,12,500
"68",0,2,80,15,0.5,0.2,0.99,0,12,500
"69",0,0,40,30,0.5,0.2,0.99,0,12,500
"70",0,8,50,30,0.5,0.2,0.99,0,12,500
"71",0,7,70,30,0.5,0.2,0.99,0,12,500
"72",0,6,80,30,0.5,0.2,0.99,0,12,500
"73",0,0,40,45,0.5,0.2,0.99,0,12,500
"74",0,10,50,45,0.5,0.2,0.99,0,12,500
"75",0,7,70,45,0.5,0.2,0.99,0,12,500
"76",0,6,80,45,0.5,0.2,0.99,0,12,500
"77",0,0,40,60,0.5,0.2,0.99,0,12,500
"78",0,10,50,60,0.5,0.2,0.99,0,12,500
"79",0,7,70,60,0.5,0.2,0.99,0,12,500
"80",0,6,80,60,0.5,0.2,0.99,0,12,500
"81",0,2,40,15,0.7,0.2,0.99,0,12,500
"82",0,2,50,15,0.7,0.2,0.99,0,12,500
"83",0,2,70,15,0.7,0.2,0.99,0,12,500
"84",0,1,80,15,0.7,0.2,0.99,0,12,500
"85",0,9,40,30,0.7,0.2,0.99,0,12,500
"86",0,6,50,30,0.7,0.2,0.99,0,12,500
"87",0,5,70,30,0.7,0.2,0.99,0,12,500
"88",0,4,80,30,0.7,0.2,0.99,0,12,500
"89",0,8,40,45,0.7,0.2,0.99,0,12,500
"90",0,7,50,45,0.7,0.2,0.99,0,12,500
"91",0,5,70,45,0.7,0.2,0.99,0,12,500
"92",0,5,80,45,0.7,0.2,0.99,0,12,500
"93",0,9,40,60,0.7,0.2,0.99,0,12,500
"94",0,6,50,60,0.7,0.2,0.99,0,12,500
"95",0,5,70,60,0.7,0.2,0.99,0,12,500
"96",0,5,80,60,0.7,0.2,0.99,0,12,500
"97",0,0,40,15,0.3,0.5,0.99,0,12,500
"98",0,0,50,15,0.3,0.5,0.99,0,12,500
"99",0,0,70,15,0.3,0.5,0.99,0,12,500
"100",0,10,80,15,0.3,0.5,0.99,0,12,500
"101",0,0,40,30,0.3,0.5,0.99,0,12,500
"102",0,0,50,30,0.3,0.5,0.99,0,12,500
"103",0,0,70,30,0.3,0.5,0.99,0,12,500
"104",0,11,80,30,0.3,0.5,0.99,0,12,500
"105",0,0,40,45,0.3,0.5,0.99,0,12,500
"106",0,0,50,45,0.3,0.5,0.99,0,12,500
"107",0,0,70,45,0.3,0.5,0.99,0,12,500
"108",0,10,80,45,0.3,0.5,0.99,0,12,500
"109",0,0,40,60,0.3,0.5,0.99,0,12,500
"110",0,0,50,60,0.3,0.5,0.99,0,12,500
"111",0,0,70,60,0.3,0.5,0.99,0,12,500
"112",0,0,80,60,0.3,0.5,0.99,0,12,500
"113",0,11,40,15,0.5,0.5,0.99,0,12,500
"114",0,11,50,15,0.5,0.5,0.99,0,12,500
"115",0,7,70,15,0.5,0.5,0.99,0,12,500
"116",0,6,80,15,0.5,0.5,0.99,0,12,500
"117",0,0,40,30,0.5,0.5,0.99,0,12,500
"118",0,10,50,30,0.5,0.5,0.99,0,12,500
"119",0,7,70,30,0.5,0.5,0.99,0,12,500
"120",0,7,80,30,0.5,0.5,0.99,0,12,500
"121",0,0,40,45,0.5,0.5,0.99,0,12,500
"122",0,10,50,45,0.5,0.5,0.99,0,12,500
"123",0,7,70,45,0.5,0.5,0.99,0,12,500
"124",0,6,80,45,0.5,0.5,0.99,0,12,500
"125",0,0,40,60,0.5,0.5,0.99,0,12,500
"126",0,10,50,60,0.5,0.5,0.99,0,12,500
"127",0,7,70,60,0.5,0.5,0.99,0,12,500
"128",0,6,80,60,0.5,0.5,0.99,0,12,500
"129",0,9,40,15,0.7,0.5,0.99,0,12,500
"130",0,7,50,15,0.7,0.5,0.99,0,12,500
"131",0,5,70,15,0.7,0.5,0.99,0,12,500
"132",0,5,80,15,0.7,0.5,0.99,0,12,500
"133",0,9,40,30,0.7,0.5,0.99,0,12,500
"134",0,7,50,30,0.7,0.5,0.99,0,12,500
"135",0,6,70,30,0.7,0.5,0.99,0,12,500
"136",0,4,80,30,0.7,0.5,0.99,0,12,500
"137",0,9,40,45,0.7,0.5,0.99,0,12,500
"138",0,7,50,45,0.7,0.5,0.99,0,12,500
"139",0,5,70,45,0.7,0.5,0.99,0,12,500
"140",0,5,80,45,0.7,0.5,0.99,0,12,500
"141",0,9,40,60,0.7,0.5,0.99,0,12,500
"142",0,6,50,60,0.7,0.5,0.99,0,12,500
"143",0,5,70,60,0.7,0.5,0.99,0,12,500
"144",0,5,80,60,0.7,0.5,0.99,0,12,500
"145",0,1,40,15,0.3,0.08,0.95,0,12,500
"146",0,1,50,15,0.3,0.08,0.95,0,12,500
"147",0,1,70,15,0.3,0.08,0.95,0,12,500
"148",0,1,80,15,0.3,0.08,0.95,0,12,500
"149",0,2,40,30,0.3,0.08,0.95,0,12,500
"150",0,2,50,30,0.3,0.08,0.95,0,12,500
"151",0,2,70,30,0.3,0.08,0.95,0,12,500
"152",0,1,80,30,0.3,0.08,0.95,0,12,500
"153",0,3,40,45,0.3,0.08,0.95,0,12,500
"154",0,3,50,45,0.3,0.08,0.95,0,12,500
"155",0,2,70,45,0.3,0.08,0.95,0,12,500
"156",0,2,80,45,0.3,0.08,0.95,0,12,500
"157",0,4,40,60,0.3,0.08,0.95,0,12,500
"158",0,3,50,60,0.3,0.08,0.95,0,12,500
"159",0,2,70,60,0.3,0.08,0.95,0,12,500
"160",0,2,80,60,0.3,0.08,0.95,0,12,500
"161",0,1,40,15,0.5,0.08,0.95,0,12,500
"162",0,1,50,15,0.5,0.08,0.95,0,12,500
"163",0,1,70,15,0.5,0.08,0.95,0,12,500
"164",0,1,80,15,0.5,0.08,0.95,0,12,500
"165",0,1,40,30,0.5,0.08,0.95,0,12,500
"166",0,1,50,30,0.5,0.08,0.95,0,12,500
"167",0,1,70,30,0.5,0.08,0.95,0,12,500
"168",0,1,80,30,0.5,0.08,0.95,0,12,500
"169",0,2,40,45,0.5,0.08,0.95,0,12,500
"170",0,2,50,45,0.5,0.08,0.95,0,12,500
"171",0,1,70,45,0.5,0.08,0.95,0,12,500
"172",0,1,80,45,0.5,0.08,0.95,0,12,500
"173",0,3,40,60,0.5,0.08,0.95,0,12,500
"174",0,2,50,60,0.5,0.08,0.95,0,12,500
"175",0,2,70,60,0.5,0.08,0.95,0,12,500
"176",0,1,80,60,0.5,0.08,0.95,0,12,500
"177",10,1,40,15,0.7,0.08,0.95,0,12,500
"178",11,1,50,15,0.7,0.08,0.95,0,12,500
"179",11,1,70,15,0.7,0.08,0.95,0,12,500
"180",0,1,80,15,0.7,0.08,0.95,0,12,500
"181",11,1,40,30,0.7,0.08,0.95,0,12,500
"182",11,1,50,30,0.7,0.08,0.95,0,12,500
"183",11,1,70,30,0.7,0.08,0.95,0,12,500
"184",11,1,80,30,0.7,0.08,0.95,0,12,500
"185",0,2,40,45,0.7,0.08,0.95,0,12,500
"186",0,1,50,45,0.7,0.08,0.95,0,12,500
"187",0,1,70,45,0.7,0.08,0.95,0,12,500
"188",0,1,80,45,0.7,0.08,0.95,0,12,500
"189",0,2,40,60,0.7,0.08,0.95,0,12,500
"190",0,2,50,60,0.7,0.08,0.95,0,12,500
"191",0,1,70,60,0.7,0.08,0.95,0,12,500
"192",0,1,80,60,0.7,0.08,0.95,0,12,500
"193",0,3,40,15,0.3,0.2,0.95,0,12,500
"194",0,2,50,15,0.3,0.2,0.95,0,12,500
"195",0,2,70,15,0.3,0.2,0.95,0,12,500
"196",0,2,80,15,0.3,0.2,0.95,0,12,500
"197",0,4,40,30,0.3,0.2,0.95,0,12,500
